,E00,E01,E02,Month,Day,personal_care,travel,work,meal,household,outdoor_act,study,recreation_etc,entertainment
0,-0.0955044563713158,-0.2849991834261658,-0.2646908084690125,11,19,16.0,107.0,205.0,122.0,0.0,0.0,-399.0,0.0,0.0
1,0.151139792947049,-0.1546840479920774,-0.0441177097142855,11,22,0.0,276.0,248.0,191.0,0.0,0.0,0.0,-652.0,0.0
2,0.8591939867786493,1.043371452179187,0.9834350866968578,11,17,-546.0,48.0,0.0,0.0,92.0,47.0,0.0,351.0,0.0
3,2.578380697113303,3.025585831675372,3.032904386796744,11,27,0.0,-637.0,401.0,67.0,0.0,0.0,0.0,97.0,0.0
4,-3.685969084219522,-3.612750093543596,-3.6580784966741504,11,20,53.0,163.0,-335.0,78.0,0.0,0.0,0.0,40.0,0.0
5,1.7543464333417376,1.904447653735133,1.8481046467995128,11,25,21.0,54.0,0.0,146.0,0.0,0.0,48.0,20.0,0.0
6,2.166523868416548,1.7816769730283823,1.901341944821013,11,26,52.0,204.0,0.0,112.0,0.0,101.0,-398.0,0.0,0.0
7,5.960880645182698,6.267099962572914,6.20233067265832,11,24,129.0,112.0,0.0,17.0,0.0,112.0,0.0,304.0,0.0
8,1.712514999725542,1.3916589800712842,1.4656158058360518,11,28,55.0,-454.0,126.0,98.0,0.0,0.0,229.0,0.0,0.0
9,-1.6412269274648708,-0.9526913303397322,-1.2874581066858184,11,21,26.0,223.0,76.0,94.0,0.0,0.0,-454.0,143.0,0.0
