,E00,E01,E02,Month,Day,household,travel,work,meal,recreation_etc,personal_care,outdoor_act,recreation_media,socialising,entertainment,communitiy_interaction
0,-0.0926729991208645,-0.3048678794939121,-0.2766475133008157,11,5,58.0,112.0,-256.0,24.0,33.0,28.0,0.0,0.0,0.0,0.0,0.0
1,-0.7538094975668486,-0.4707922925527583,-0.5357930798760719,10,31,47.0,85.0,-259.0,50.0,48.0,5.0,0.0,0.0,0.0,0.0,0.0
2,0.1831553710287892,0.6294830476213491,0.4144164101391538,11,13,35.0,102.0,-239.0,54.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0
3,0.3138846302813789,0.330733466403899,0.2958521328600909,11,6,30.0,123.0,-280.0,71.0,0.0,15.0,40.0,0.0,0.0,0.0,0.0
4,0.4433423497493862,0.5059816968918653,0.4624652515045682,11,6,30.0,123.0,-280.0,71.0,0.0,15.0,40.0,0.0,0.0,0.0,0.0
5,2.2577584105559936,1.6221509793314084,1.5141875462245764,11,2,37.0,96.0,-290.0,79.0,0.0,41.0,18.0,16.0,2.0,0.0,0.0
6,-2.535053480758748,-2.089662279733133,-2.126496667145929,11,2,37.0,96.0,-290.0,79.0,0.0,41.0,18.0,16.0,2.0,0.0,0.0
7,4.014871358882758,3.6667872588713664,3.755688314848854,11,8,41.0,163.0,-271.0,20.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
8,0.8260292226543271,0.9692300007818916,0.9137151767641,11,1,48.0,119.0,-281.0,0.0,46.0,35.0,0.0,0.0,0.0,0.0,0.0
9,-0.4032656723785521,-0.1633445730234086,-0.227221118922003,11,10,-403.0,147.0,0.0,132.0,34.0,0.0,0.0,69.0,0.0,0.0,20.0
10,-1.5056000246142105,-1.6681644023518487,-1.5539101237527575,11,10,-403.0,147.0,0.0,132.0,34.0,0.0,0.0,69.0,0.0,0.0,20.0
11,1.3757203203471562,1.2009336508454425,1.2163423140963658,11,11,222.0,72.0,0.0,98.0,79.0,52.0,0.0,-537.0,0.0,0.0,0.0
