,E00,E01,E02,Month,Day,work,meal,travel,recreation_etc,recreation_media,household,personal_care
0,4.87593166239121,5.195803597771231,5.2601538064352695,11,8,205.0,289.0,23.0,-662.0,0.0,79.0,5.0
1,-1.1116775746857286,-1.1945233674693014,-1.2061904006195905,11,8,205.0,289.0,23.0,-662.0,0.0,79.0,5.0
2,-0.2162531720258158,-0.487305174286007,-0.4362612313282454,11,2,290.0,-576.0,192.0,0.0,54.0,44.0,0.0
3,3.4334684592831906,3.340664786434573,3.3316553392772192,11,3,0.0,-559.0,367.0,107.0,0.0,82.0,0.0
4,-5.383242676192069,-5.088483123011557,-5.15344779149666,11,6,137.0,87.0,-514.0,167.0,18.0,104.0,0.0
5,-2.6155892448830684,-2.1842412685397647,-2.2289073214949866,11,7,317.0,-673.0,421.0,0.0,0.0,0.0,0.0
6,2.719714321853488,2.3384603781109234,2.452646343102004,11,5,-532.0,65.0,183.0,153.0,62.0,77.0,0.0
7,0.5186216715245848,0.9066051978507376,0.8494437591701853,11,1,-520.0,84.0,226.0,59.0,94.0,56.0,0.0
8,0.7210538481953677,0.3702307787848582,0.4607940352997559,11,4,0.0,-433.0,75.0,0.0,0.0,0.0,0.0
9,-2.314337952557807,-2.553351476335237,-2.5151832247123167,11,11,0.0,0.0,200.0,247.0,0.0,-444.0,0.0
10,-3.875422086126292,-3.770544497742435,-3.8208748804025694,11,13,-236.0,0.0,237.0,0.0,0.0,33.0,0.0
11,-3.380249409407824,-3.257884354885832,-3.3107015169546656,11,12,-105.0,0.0,55.0,0.0,0.0,0.0,0.0
12,-1.6965389601848386,-1.8313915943710413,-1.8284617203544824,11,9,-342.0,22.0,167.0,0.0,0.0,152.0,0.0
