,E00,E01,E02,Month,Day,travel,recreation_etc,study,meal,hobby,work,personal_care,socialising,entertainment,communitiy_interaction,household
0,1.170804576091271,1.3482302702439457,1.2889385660327406,11,18,115.0,340.0,0.0,40.0,0.0,0.0,-692.0,69.0,0.0,127.0,0.0
1,4.301019219546305,3.9881769984529,4.112770024007148,11,22,246.0,117.0,194.0,-570.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
2,0.5039059665574683,0.8212868818775974,0.7568720680292103,11,22,246.0,117.0,194.0,-570.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
3,2.1938839458881887,1.83167347548816,1.963846722482529,11,25,-645.0,163.0,0.0,103.0,0.0,0.0,110.0,0.0,31.0,237.0,0.0
4,-4.161131743376743,-4.028325496544596,-4.082531116768649,11,23,117.0,-467.0,0.0,101.0,0.0,0.0,136.0,0.0,0.0,0.0,112.0
5,-1.5721481136217648,-1.7379289852280095,-1.725437241650596,11,21,130.0,-501.0,221.0,66.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0
6,2.2114007511603404,2.905627283455786,2.5687370217569025,11,21,130.0,-501.0,221.0,66.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0
7,-0.3786151342433754,-0.6939518909826319,-0.6227631795540987,11,28,45.0,-283.0,0.0,75.0,64.0,0.0,59.0,0.0,0.0,0.0,39.0
8,-3.1258025976145234,-3.5112100574778538,-3.3900761848753547,11,19,122.0,132.0,290.0,42.0,0.0,0.0,-587.0,0.0,0.0,0.0,0.0
9,-2.8002721281226712,-2.915954288010312,-2.91861408371706,11,24,136.0,80.0,0.0,67.0,68.0,0.0,54.0,0.0,0.0,-415.0,0.0
10,-2.416875787279878,-2.4761714565320574,-2.493873756052068,11,15,180.0,166.0,-555.0,87.0,33.0,34.0,48.0,12.0,0.0,0.0,0.0
11,-1.9489367556181487,-2.2715858952104924,-2.1967140789446944,11,20,-533.0,119.0,259.0,141.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
12,-0.066546567058694,-0.2618148266296742,-0.2395354531772682,11,17,72.0,249.0,0.0,-602.0,0.0,73.0,3.0,0.0,0.0,208.0,0.0
