,E00,E01,E02,Month,Day,travel,work,household,personal_care,recreation_etc,meal,study,communitiy_interaction,entertainment,hobby,outdoor_act
0,1.3415201749376848,1.3548597848482302,1.3206928328368974,11,3,71.0,0.0,-557.0,0.0,277.0,202.0,0.0,0.0,0.0,0.0,0.0
1,-1.5774601685650254,-1.396654245062393,-1.4562729583886238,11,4,23.0,0.0,100.0,0.0,310.0,141.0,0.0,0.0,0.0,0.0,0.0
2,0.7719575977234285,1.479666593005362,1.1380701298043334,11,11,-480.0,0.0,204.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,134.0
3,-1.9937116410695663,-1.5917891006201756,-1.6460059564237923,10,31,135.0,-398.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.4828772463362867,2.8973780223999483,2.846545378129562,11,7,453.0,-650.0,0.0,51.0,77.0,62.0,0.0,0.0,0.0,0.0,0.0
5,1.3590779054458153,0.9983032694956364,1.0952805179180274,11,7,453.0,-650.0,0.0,51.0,77.0,62.0,0.0,0.0,0.0,0.0,0.0
6,-1.4319867964132411,-1.031973916068452,-1.086638691171629,11,10,-498.0,0.0,202.0,0.0,133.0,59.0,0.0,0.0,68.0,35.0,0.0
7,6.064639184423797,5.85390551346913,5.948166851450267,11,9,185.0,197.0,0.0,0.0,0.0,128.0,-511.0,0.0,0.0,0.0,0.0
8,-0.7296981823604654,-1.0585223809480198,-0.930568754354411,11,5,95.0,-557.0,183.0,0.0,0.0,224.0,54.0,0.0,0.0,0.0,0.0
9,-0.2877531674591296,-0.6679708325458193,-0.5549839965088381,11,2,-310.0,114.0,203.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.4220094925997415,-0.0608745307284266,-0.1220222792884584,11,6,395.0,-483.0,59.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-1.018399421649221,-1.3462866555852742,-1.2686943511588282,11,1,-440.0,211.0,154.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
