,E00,E01,E02,Month,Day,travel,household,recreation_etc,personal_care,study,meal,work,outdoor_act,communitiy_interaction,entertainment
0,-0.5709711601848397,-0.7058237943710424,-0.7028939203544837,11,19,173.0,-584.0,16.0,35.0,0.0,66.0,464.0,0.0,0.0,0.0
1,-2.982748243376733,-2.8499419965445867,-2.90414761676864,11,26,324.0,80.0,189.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
2,2.214368808553872,2.6577465306601056,2.6195312536945465,11,26,324.0,80.0,189.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
3,6.279354781363438,6.182519157841057,6.233341880700422,11,22,99.0,14.0,47.0,0.0,86.0,32.0,-265.0,0.0,0.0,0.0
4,1.0243362428755065,1.0166927101691812,0.9869528264991204,11,23,111.0,0.0,34.0,20.0,-567.0,0.0,401.0,0.0,0.0,0.0
5,0.182654365003458,0.0048954467941229,0.0212804906186079,11,21,124.0,23.0,51.0,74.0,114.0,49.0,-498.0,0.0,62.0,0.0
6,-1.002984750298296,-1.3414391070670604,-1.2117870507443629,11,25,23.0,125.0,314.0,13.0,0.0,117.0,0.0,0.0,-532.0,0.0
7,-3.068205873131717,-2.6781505023901246,-2.734918753147568,11,24,184.0,-642.0,64.0,16.0,0.0,178.0,127.0,0.0,0.0,17.0
8,-1.260161078899685,-1.5736117812445087,-1.503353168158668,11,17,113.0,0.0,-467.0,0.0,0.0,239.0,0.0,147.0,0.0,0.0
9,-0.6078642869271391,-0.9929245889765212,-0.8727607676975992,11,16,-492.0,0.0,189.0,0.0,78.0,0.0,333.0,0.0,0.0,0.0
10,-3.39062395291053,-3.1105846515887805,-3.175569589134738,11,18,18.0,342.0,0.0,0.0,0.0,90.0,60.0,0.0,-511.0,0.0
11,0.1105539615903694,0.3408801570552811,0.2774958738894924,11,20,148.0,32.0,0.0,8.0,272.0,40.0,-490.0,0.0,0.0,0.0
