,E00,E01,E02,Month,Day,recreation_etc,travel,study,meal,socialising,household,personal_care,work,recreation_media,communitiy_interaction,hobby
0,-1.4052479605852568,-1.769335655883154,-1.6700563388287009,11,25,81.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,230.0,0.0,261.0
1,-2.086010705241563,-2.4490196224149514,-2.3505011178820325,11,24,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0
2,-6.148424946437089,-6.149089398407099,-6.1803313077383,11,20,376.0,91.0,-393.0,31.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
3,-1.9941750330897747,-2.19798174104308,-2.1727363884142363,11,18,91.0,0.0,0.0,97.0,0.0,62.0,22.0,261.0,45.0,0.0,0.0
4,2.374396310412933,2.0571965817273394,2.12931175897063,11,26,44.0,221.0,-364.0,30.0,0.0,0.0,53.0,15.0,0.0,0.0,0.0
5,-4.746818789587067,-5.064018518272661,-4.991903341029371,11,19,191.0,55.0,-314.0,49.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0
6,-5.547362696413245,-5.147349816068456,-5.202014591171633,11,19,191.0,55.0,-314.0,49.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0
7,-3.0531215181407703,-2.7801916745288366,-2.704490157037469,11,27,403.0,93.0,0.0,-689.0,0.0,0.0,11.0,181.0,0.0,0.0,0.0
8,0.8796380269636472,0.0310596737603674,-0.1071622744108253,11,23,-598.0,78.0,433.0,21.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0
9,-0.1461101203525743,-0.3382404222921309,-0.3485455311560059,11,16,-636.0,82.0,381.0,41.0,0.0,18.0,74.0,0.0,49.0,0.0,0.0
10,3.773993355822413,3.391383289808971,3.5073046331279016,11,22,-587.0,100.0,402.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
