,E00,E01,E02,Month,Day,travel,work,meal,recreation_etc,recreation_media,hobby,study,communitiy_interaction
0,2.0075770661570544,1.982567504683303,1.956693178187919,11,6,1.0,0.0,170.0,-220.0,0.0,0.0,0.0,0.0
1,3.255000877998029,3.401654968173503,3.345721562240101,11,10,0.0,0.0,27.0,0.0,-147.0,0.0,0.0,0.0
2,2.272954723007075,1.9433688605518,2.0218595157183046,11,13,-547.0,0.0,75.0,0.0,260.0,211.0,0.0,0.0
3,-1.2987193559708885,-1.1417434203687409,-1.1988785215062876,11,8,0.0,0.0,13.0,0.0,-179.0,0.0,0.0,0.0
4,2.2656479611899414,2.143528144098127,2.142717564273738,11,1,100.0,473.0,-628.0,0.0,54.0,0.0,0.0,0.0
5,1.0429677814588132,1.5011569629861583,1.4804545421718132,11,1,100.0,473.0,-628.0,0.0,54.0,0.0,0.0,0.0
6,1.843361236659448,2.5137356131281905,2.18620349482076,11,11,0.0,0.0,14.0,0.0,-374.0,191.0,0.0,168.0
7,-0.8106030059470442,-0.3549458855997187,-0.3813364308132492,11,11,0.0,0.0,14.0,0.0,-374.0,191.0,0.0,168.0
8,2.723020286778649,2.9071977521791865,2.847261386696857,11,4,0.0,0.0,0.0,-203.0,0.0,202.0,0.0,0.0
9,-0.119599804040277,0.3302354960009808,0.2969787710080709,11,4,0.0,0.0,0.0,-203.0,0.0,202.0,0.0,0.0
10,5.904866869970576,5.818692218147447,5.807906538703122,11,3,20.0,0.0,7.0,201.0,-229.0,0.0,0.0,0.0
11,4.43468237493768,4.448021984848225,4.413855032836892,11,5,164.0,0.0,-646.0,388.0,0.0,93.0,0.0,0.0
12,1.0664377020327436,1.000371253070668,0.9843685039662802,11,9,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0
13,0.97139840965977,0.7906823840946231,0.808045685708592,11,12,0.0,0.0,34.0,0.0,-161.0,126.0,0.0,0.0
