,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,Class
0,0,0,0,2018_11_15_10_32,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.092273900195299,0.12541490437605,9.856453643256812,-0.4162516276041667,-0.1475423177083333,0.8880940755208333,
1,1,1,1,2018_11_15_10_33,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.0910975660470059,0.1266501893379976,9.848653402350246,-0.52998046875,-0.1267252604166666,0.8181966145833334,
2,2,2,2,2018_11_15_10_34,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.0849740523642774,0.1296193464880188,9.843551363773775,-0.4492513020833333,-0.1481119791666666,0.8672607421875,
3,3,3,3,2018_11_15_10_35,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.0897134867892434,0.1262475308584883,9.84700909277308,-0.4082356770833333,-0.0517496744791666,0.842626953125,
4,4,4,4,2018_11_15_10_36,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.1566526439070562,0.1211900402430018,9.85249542346022,-0.3921630859375,-0.0627848307291666,0.8991617838541667,
5,5,5,5,2018_11_15_10_37,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.0853279545137732,0.1250883261354992,9.848304914053724,-0.3673665364583333,-0.0639892578125,0.9134928385416666,
6,6,6,6,2018_11_15_10_38,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.0856389594249716,0.1240587925873469,9.846377237401988,-0.324853515625,-0.0558512369791666,0.9391357421875,
7,7,7,7,2018_11_15_10_39,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.0854271543729,0.1237772795795084,9.844044689249715,-0.4434031396560708,-0.0570121156852527,0.757588587806149,
8,8,8,8,2018_11_15_10_40,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.0853896192830905,0.1227638323975373,9.843235010638288,-0.3842122395833333,0.0207194010416666,0.830615234375,
9,9,9,9,2018_11_15_10_41,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.086821314442329,0.1224689140436738,9.842591546472526,-0.4296712239583333,-0.0564290364583333,0.8551025390625,
10,10,10,10,2018_11_15_10_42,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.1015725995965281,0.1166563391472572,9.842409229283302,-0.4946614583333333,0.0189615885416666,0.7706217447916667,
11,11,11,11,2018_11_15_10_43,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.2864618744184816,0.1295363722162472,9.834706796582616,-0.5240478515625,-0.3003011067708333,0.5000651041666667,
12,12,12,12,2018_11_15_10_44,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.1693984831132159,0.1324478820627113,9.84688930459122,-0.4629964192708333,-0.571923828125,0.3847819010416666,
13,13,13,13,2018_11_15_10_45,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.0835101843510634,0.1208415002693177,9.842840893057083,-0.1966959635416666,-0.5961751302083333,0.6224853515625,
14,14,14,14,2018_11_15_10_46,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.0837273515403132,0.1212543860761485,9.843344932810734,-0.27421875,-0.4737874348958333,0.6739420572916667,
15,15,15,15,2018_11_15_10_47,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.0852394789204922,0.1195894371825316,9.843476300111949,-0.413134765625,-0.0899332682291666,0.8737386067708334,
16,16,16,16,2018_11_15_10_48,study,3.0,0.0,,3.0,,,workplace,5.0,2.0,3.0,-0.0852180302840982,0.1193025621651743,9.84409026679729,-0.4542724609375,-0.136474609375,0.8141031901041667,
