,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,Class
0,0,0,0,2018_10_31_07_52,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-1.40049538266967,1.68899267029306,9.609954309798423,-0.3181640625,0.0399576822916666,-0.7227457682291667,
1,1,1,4,2018_10_31_07_53,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,0.2310578890238554,0.7956953698152341,9.916422928331489,-0.7363779963522668,0.1480914538822303,-0.1006464955706096,
2,2,2,8,2018_10_31_07_54,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,0.2496994180179216,0.771104532844347,9.927326846304604,-0.7541341145833333,0.1104085286458333,-0.0835774739583333,
3,3,3,12,2018_10_31_07_55,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,0.158459441398884,0.7391987245327355,9.935913669557928,-0.726220703125,0.0290445963541666,-0.029931640625,
4,4,4,16,2018_10_31_07_56,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.0488009622110862,0.6602983222508445,9.952499446528565,-0.53203125,0.1816487630208333,-0.3116780598958333,
5,5,5,20,2018_10_31_07_57,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.0474255697954087,0.6571855903359497,9.95749697060471,-0.7851481119791667,0.0229085286458333,0.0400797526041666,
6,6,6,24,2018_10_31_07_58,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.0477205798073865,0.655729923094575,9.954057043648609,-0.5619222005208333,0.2515706380208333,0.2064697265625,
7,7,7,28,2018_10_31_07_59,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.0503425815403134,0.6407184104815249,9.964738546472578,-0.3508707682291667,0.2327473958333333,-0.2386555989583333,
8,8,8,32,2018_10_31_08_00,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.0488599459703246,0.6178059176371803,9.93806722956332,-0.5307779947916667,0.4278401692708333,0.018408203125,
9,9,9,36,2018_10_31_08_01,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.0490744320973123,0.6235595051735732,9.930611165453548,-0.7388834635416667,0.1010660807291666,-0.0879638671875,
10,10,10,40,2018_10_31_08_02,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.0573535977506157,0.6165458118253109,9.928356375979876,-0.6559895833333333,0.1225992838541666,0.2909993489583333,
11,11,11,44,2018_10_31_08_03,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.4904949789530793,1.1735449064826442,9.761960660358357,-0.772412109375,-0.0874755859375,-0.0822672526041666,
12,12,12,48,2018_10_31_08_04,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.4112852448533036,0.4838110546150039,9.833872492889109,-0.7206298828125,0.0133544921875,0.1341796875,
13,13,13,52,2018_10_31_08_05,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.074944143678835,0.0191991917825307,9.975714866517336,-0.6204566180302241,0.1272798332464825,0.3356647342365815,
14,14,14,56,2018_10_31_08_07,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.0726598659947363,0.0161695749481522,10.005402416293396,-0.7687906901041667,0.1931884765625,0.0144775390625,
15,15,15,60,2018_10_31_08_08,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.0731773138068302,0.0058206179916013,10.067115399216116,-0.7011555989583333,0.1497721354166666,-0.2020751953125,
16,16,16,64,2018_10_31_08_09,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,3.0,-0.3667325770926025,0.7286098162589545,9.836517677984812,-0.7566784274193549,0.4686239919354839,-0.1427671370967742,
17,17,17,68,2018_10_31_08_10,household,5.0,0.0,1.0,1.0,1.0,,home,4.0,5.0,2.0,-0.9800783986620388,1.8083005933201588,9.558346243784976,-0.7396565755208333,-0.1472493489583333,0.65947265625,
18,18,18,70,2018_10_31_08_11,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.7252661667575702,1.6631390489177753,9.58617311774912,-0.628493030224075,-0.1270437076602397,0.733169945284002,
19,19,19,72,2018_10_31_08_12,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.1656449763151164,-0.0267651908786114,9.985873458174648,-0.6957617625093353,0.2068474607916355,0.4968726661687827,
20,20,20,76,2018_10_31_08_13,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.1643884376050408,-0.0281617136071708,9.987229979551763,-0.76591796875,-0.2165445963541666,0.3600260416666667,
21,21,21,80,2018_10_31_08_14,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.1624679004490472,-0.029092365680851,9.98704509490478,-0.5748046875,0.3381103515625,0.42705078125,
22,22,22,84,2018_10_31_08_15,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.1623821059795063,-0.0293685165729002,9.983715183146662,-0.5389811197916666,0.3342447916666666,0.5410074869791667,
23,23,23,88,2018_10_31_08_16,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.1593203161713321,-0.0265721534232922,9.994981076147775,-0.5528971354166666,0.6114176432291667,0.4496907552083333,
24,24,24,92,2018_10_31_08_17,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.1571164711774904,-0.0236256498744681,9.995005215845444,-0.718310546875,0.2301350911458333,0.3023193359375,
25,25,25,96,2018_10_31_08_18,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.4801513868437869,0.8522607378344889,9.732176530403114,-0.5799883086515978,0.4233364185502728,0.2776938815276695,
26,26,26,100,2018_10_31_08_19,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.3464112272527459,0.493425397511647,9.832502450783847,-0.6671280614903595,-0.0581438900468994,0.2214695153725898,
27,27,27,104,2018_10_31_08_20,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.1578832588918246,-0.0122230297133258,9.971138274076123,-0.6841796875,0.075341796875,0.2888509114583333,
28,28,28,108,2018_10_31_08_21,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.1584489661750273,-0.0093596395636058,9.960440776875702,-0.5725016276041667,0.1183349609375,-0.2899251302083333,
29,29,29,112,2018_10_31_08_22,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.1581888057347501,-0.008625557104085,9.95331749972021,-0.8551188151041667,0.01513671875,-0.1606608072916666,
30,30,30,116,2018_10_31_08_23,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,0.5790645410145502,4.459924854931727,6.477815502210988,-0.7772054036458333,-0.0974690755208333,-0.1412190755208333,
31,31,31,120,2018_10_31_08_24,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.5005065229932585,7.857334201101136,2.683464307764325,-0.7452204924439813,-0.2373957790515893,0.0100638353309015,
32,32,32,124,2018_10_31_08_25,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.5925072791834224,0.4943584138285563,9.828271705599072,-0.766075922818792,0.2851929530201342,-0.0140520134228187,
33,33,33,128,2018_10_31_08_26,meal,3.0,0.0,,1.0,1.0,,home,2.0,5.0,3.0,-0.1398015512025742,0.0426749370011193,9.961428579406832,-0.6171956380208333,-0.1163330078125,0.7748291015625,
