,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,Class
0,0,0,0,2018_10_31_07_47,household,2.0,0.0,1.0,1.0,1.0,,home,3.0,3.0,3.0,0.1596259571998877,1.2561703357652845,10.029191887597946,,,,
1,1,1,1,2018_10_31_07_48,household,2.0,0.0,1.0,1.0,1.0,,home,3.0,3.0,3.0,-0.2129218366385003,-0.7618973682529373,10.39659422540575,,,,
2,2,2,2,2018_10_31_07_49,household,2.0,0.0,1.0,1.0,1.0,,home,3.0,3.0,3.0,-0.5807105380164616,-0.085427115403917,10.115926973667412,,,,
3,3,3,3,2018_10_31_07_50,household,2.0,0.0,1.0,1.0,1.0,,home,3.0,3.0,3.0,-0.088400468610526,0.0191831053800671,10.634069712485989,,,,
4,4,4,4,2018_10_31_07_51,household,2.0,0.0,1.0,1.0,1.0,,home,3.0,3.0,3.0,-0.087780250132736,0.0202575991403469,10.641320507554529,,,,
5,5,5,5,2018_10_31_07_52,household,2.0,0.0,1.0,1.0,1.0,,home,3.0,3.0,3.0,-0.1194527021830914,0.062225114522172,10.635144834826413,,,,
6,6,6,6,2018_10_31_07_53,household,2.0,0.0,1.0,1.0,1.0,,home,3.0,3.0,2.0,-0.117592032516238,0.25796785945991,10.515480302071664,,,,
7,7,7,7,2018_10_31_07_54,household,2.0,1.0,1.0,1.0,1.0,,home,4.0,4.0,0.0,-1.3038218850667809,6.003142193637759,6.302876797636407,,,,
8,8,8,8,2018_10_31_07_55,household,2.0,1.0,1.0,1.0,1.0,,home,4.0,4.0,3.0,0.4943631304501397,-3.154000983715724,2.504571446029095,,,,
9,9,9,9,2018_10_31_07_56,household,2.0,1.0,1.0,1.0,1.0,,home,4.0,4.0,1.0,1.311261106321387,-9.4942913288354,0.558300758615902,,,,
10,10,10,10,2018_10_31_07_57,household,2.0,1.0,1.0,1.0,1.0,,home,4.0,4.0,4.0,0.2720086587398655,-4.712853329815201,3.866835479239029,,,,
11,11,11,11,2018_10_31_07_58,household,2.0,1.0,1.0,1.0,1.0,,home,4.0,4.0,3.0,-0.2541821793938412,-6.158634833507841,2.670091216577821,,,,
12,12,12,12,2018_10_31_07_59,household,2.0,1.0,1.0,1.0,1.0,,home,4.0,4.0,3.0,0.1508159396474805,-9.095569616909293,1.0313392466330358,,,,
13,13,13,13,2018_10_31_08_00,household,2.0,1.0,1.0,1.0,1.0,,home,4.0,4.0,2.0,0.0069118171418809,6.237080424888004,6.146608846954084,,,,
14,14,14,14,2018_10_31_08_01,household,2.0,1.0,1.0,1.0,1.0,,home,4.0,4.0,3.0,-0.3549795919795191,0.5518400481952992,10.39075863642977,,,,
15,15,15,15,2018_10_31_08_02,household,2.0,1.0,1.0,1.0,1.0,,home,4.0,4.0,3.0,0.3947284285622828,-9.263320506748746,0.636619839016341,,,,
16,16,16,16,2018_10_31_08_03,household,2.0,1.0,1.0,1.0,1.0,,home,4.0,4.0,4.0,0.5251800735497196,-9.729011603639409,0.436276901407111,,,,
17,17,17,17,2018_10_31_08_04,household,2.0,1.0,1.0,1.0,1.0,,home,4.0,4.0,3.0,0.2455759208118708,-9.749851600783884,1.0375808051097437,,,,
