,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,Class
0,0,0,0,0,0,2018_11_15_10_43,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,0.3338201187959183,2.215695239428571,9.687111102721094,,,,B
1,1,1,1,1,1,2018_11_15_10_44,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,-0.038738879645353,6.565260325646714,6.936395104507283,,,,B
2,2,2,2,2,2,2018_11_15_10_45,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,0.5346469606517337,-0.19297855382766,9.96054534899217,,,,B
3,3,3,3,3,3,2018_11_15_10_46,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,0.5371189168197066,-0.2299211123342694,9.963660765957435,,,,B
4,4,4,4,4,4,2018_11_15_10_47,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,1.1260094105191478,1.7122134641511866,8.863207369334816,,,,B
5,5,5,5,5,5,2018_11_15_10_48,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,0.4264923135687575,0.4798698722901452,9.741678309630435,,,,B
6,6,6,6,6,6,2018_11_15_10_49,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,0.8327183647234019,-0.0078823669891378,9.9649798585666,,,,B
7,7,7,7,7,7,2018_11_15_10_53,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,,,,,,,B
8,8,8,8,8,8,2018_11_15_10_54,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,0.9985707423919196,3.5786882654141445,8.943085861414147,,,,B
9,9,9,9,9,9,2018_11_15_10_55,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,0.9838533503325876,7.233489257390817,6.607008713824184,,,,B
10,10,10,10,10,10,2018_11_15_10_56,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,4.0,-0.7839396096886397,6.094517469949623,7.509570397705652,,,,B
11,11,11,11,11,11,2018_11_15_10_57,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,1.02629661028148,1.497698447395634,9.794866202462243,,,,B
12,12,12,12,12,12,2018_11_15_10_58,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,0.5636535302894742,1.8018204239809616,9.882981890481528,,,,B
13,13,13,13,13,13,2018_11_15_10_59,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,0.5493981265385507,2.288741252942907,9.514034133666854,,,,B
14,14,14,14,14,14,2018_11_15_11_00,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,-0.7993563967802199,6.808100982747264,6.56117819102564,,,,B
15,15,15,15,15,15,2018_11_15_11_01,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,-0.2702177003701008,0.8304635766039185,9.798967527603567,,,,B
16,16,16,16,16,16,2018_11_15_11_02,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,-0.3176084159124309,0.6486061327883548,9.999552321668526,,,,B
17,17,17,17,17,17,2018_11_15_11_03,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,-0.1882384104269863,0.483416936584546,9.997495925811837,,,,B
18,18,18,18,18,18,2018_11_15_11_04,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,0.1375312030617021,0.1176724657792816,10.00318248264276,,,,B
19,19,19,19,19,19,2018_11_15_11_05,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,0.3602911605935047,-0.0822849321527435,10.02981627575588,,,,B
20,20,20,20,20,20,2018_11_15_11_06,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,-1.2734069725050368,0.9673245188646146,9.62031128784992,,,,B
21,21,21,21,21,21,2018_11_15_11_07,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,-3.679464367245227,2.4638614330907034,9.008232243001116,,,,B
22,22,22,22,22,22,2018_11_15_11_08,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,-3.5187016683650687,2.574619381730124,9.039456043673,,,,B
23,23,23,23,23,23,2018_11_15_11_09,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,-3.2833728321108606,2.1355662475464703,9.208739059966412,,,,B
24,24,24,24,24,24,2018_11_15_11_10,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,-5.137884562226995,1.9411388859966408,7.886522494180171,,,,B
25,25,25,25,25,25,2018_11_15_11_11,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,-5.979908855935065,0.2257976164979833,7.571917568365047,,,,B
26,26,26,26,26,26,2018_11_15_11_12,recreation_etc,4.0,2.0,,0.0,,,home,1.0,3.0,3.0,-5.0962284172452295,-2.776472300335935,8.165395308342683,,,,B
