,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,Class
0,0,0,0,2018_10_31_08_26,household,2.0,1.0,1.0,1.0,1.0,,home,4.0,4.0,2.0,-0.4092690748488262,0.8629823617514,9.847755015061626,-0.8216796875,0.0552734375,0.179443359375,
1,1,1,1,2018_10_31_08_29,household,5.0,1.0,1.0,1.0,1.0,,home,6.0,2.0,2.0,-1.1384710582949622,8.397269644745796,3.428249500465841,-0.6121256510416667,-0.1709716796875,0.1256754557291666,
2,2,2,2,2018_10_31_08_30,household,5.0,1.0,1.0,1.0,1.0,,home,6.0,2.0,3.0,-1.116940031768406,9.800236143697486,1.1231951238622977,-0.5883626302083333,0.1289306640625,-0.356689453125,
3,3,3,3,2018_10_31_08_31,household,2.0,1.0,1.0,1.0,1.0,,home,6.0,1.0,2.0,-0.8748801986086279,8.937175369915979,2.223299291922073,-0.6239990234375,-0.1472493489583333,0.1189453125,
4,4,4,4,2018_10_31_08_32,household,2.0,1.0,1.0,1.0,1.0,,home,6.0,1.0,4.0,-2.613894503511754,8.121579935274376,2.846809037215229,-0.679248046875,0.2365315755208333,-0.0367350260416666,
5,5,5,5,2018_10_31_08_33,household,2.0,1.0,1.0,1.0,1.0,,home,6.0,1.0,2.0,-2.6883721443098567,9.452442398992146,0.1943231136914334,-0.4040027357998957,0.5059031396560709,0.1906754820218864,
6,6,6,6,2018_10_31_08_34,household,2.0,1.0,1.0,1.0,1.0,,home,6.0,1.0,2.0,-2.1664093585238526,9.618768341209412,-0.006604833867917,-0.8027262369791667,-0.04951171875,0.1690511067708333,
7,7,7,7,2018_10_31_08_35,household,2.0,1.0,1.0,1.0,1.0,,home,6.0,1.0,2.0,-2.632404660121495,9.404786238073912,0.0005482809753638,-0.7790852864583333,0.1356038411458333,0.217138671875,
8,8,8,8,2018_10_31_08_36,household,2.0,1.0,1.0,1.0,1.0,,home,6.0,1.0,4.0,-1.704792257480069,9.439508189210525,0.61690909777839,-0.7816975911458334,0.1028971354166666,0.1726481119791666,
9,9,9,9,2018_10_31_08_37,household,2.0,1.0,1.0,1.0,1.0,,home,6.0,1.0,4.0,-1.752083245427914,9.694345519226472,-0.0648366976328473,-0.7739501953125,-0.0259358723958333,0.2428792317708333,
