,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,Class
0,0,0,0,0,0,2018_10_31_10_27,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.429176068761143,3.532758620297317,9.003202411142215,-0.8362711588541667,-0.3411539713541666,-0.1593424479166666,
1,1,1,1,1,4,2018_10_31_10_28,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1633741030537513,3.2262042590492404,8.897557213213926,-0.5190673828125,-0.3240234375,0.3516927083333333,
2,2,2,2,2,8,2018_10_31_10_29,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4085443251035246,0.1561282114683821,10.541452324286563,-0.2022135416666666,-0.0673258463541666,0.9561442057291668,
3,3,3,3,3,12,2018_10_31_10_30,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.401896110979842,0.1564917803135493,10.548135528835427,-0.1702067057291666,-0.0522298177083333,0.9645589192708334,
4,4,4,4,4,16,2018_10_31_10_31,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.3902146593617019,0.1588833007502791,10.547669033874651,-0.38564453125,-0.2106038411458333,0.6853271484375,
5,5,5,5,5,20,2018_10_31_10_32,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,3.119818203058613,6.385259202779348,2.89071356481192,-0.2281298853569567,-0.7496173137050547,0.0481696195935383,
6,6,6,6,6,24,2018_10_31_10_33,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,2.013190059255718,4.900926929439067,4.224184393441536,-0.133056640625,-0.5875244140625,0.3693115234375,
7,7,7,7,7,28,2018_10_31_10_34,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4603114168757031,0.1353622132228452,10.561425773796229,-0.2487711588541666,-0.14267578125,0.9386962890625,
8,8,8,8,8,32,2018_10_31_10_35,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4511817503245689,0.138140214106324,10.554196551483004,-0.0867268880208333,-0.1079182942708333,0.9678955078125,
9,9,9,9,9,36,2018_10_31_10_36,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4492278448208304,0.144534177483203,10.52802190369546,-0.0831868489583333,-0.1426350911458333,0.9581136067708332,
10,10,10,10,10,40,2018_10_31_10_37,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4484717813269893,0.1440435404535273,10.52272939809637,-0.1261149088541666,-0.1792643229166666,0.9285481770833334,
11,11,11,11,11,44,2018_10_31_10_38,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4479087548544259,0.1452821978924973,10.517664807110902,-0.1956705729166666,-0.173583984375,0.9323404947916668,
12,12,12,12,12,48,2018_10_31_10_39,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4504613373613478,0.14529384152381,10.516338894397816,-0.1971923828125,-0.1528727213541666,0.942529296875,
13,13,13,13,13,52,2018_10_31_10_40,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4521234083314694,0.143043498651736,10.514275905935095,-0.2821370442708333,-0.1207438151041666,0.93125,
14,14,14,14,14,56,2018_10_31_10_41,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4493270447424439,0.1460865209675253,10.515511896696587,-0.1493245442708333,-0.0957926432291666,0.95419921875,
15,15,15,15,15,60,2018_10_31_10_42,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.451067063779398,0.1452312574714447,10.509136238241942,-0.0400472005208333,-0.0877278645833333,0.9700113932291666,
16,16,16,16,16,64,2018_10_31_10_43,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4514041551706784,0.1454902927179631,10.513828346110856,-0.0380406461698801,-0.4312223163105784,0.6317336503387181,
17,17,17,17,17,68,2018_10_31_10_44,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,5.191261966499446,6.327019844236302,2.3245995788287823,0.0080973307291666,-0.8557861328125,0.1269368489583333,
18,18,18,18,18,72,2018_10_31_10_45,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,3.1854069619150343,3.304192954497744,6.163337109281036,0.1426350911458333,-0.3675455729166667,0.5136311848958334,
19,19,19,19,19,74,2018_10_31_10_46,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1685721648119734,0.5160810961779482,10.504004962507048,-0.0692545572916666,0.0237630208333333,0.934765625,
20,20,20,20,20,75,2018_10_31_10_47,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1775891735935027,0.5070988875923823,10.50275259182536,-0.0585611979166666,0.1001953125,0.9641031901041668,
21,21,21,21,21,77,2018_10_31_10_48,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1502555940828676,0.4630300270489346,10.482547970212831,-0.0728922526041666,0.0748860677083333,0.87119140625,
22,22,22,22,22,78,2018_10_31_10_49,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2288266639675078,0.1693377953994393,10.421177121400609,-0.0898518880208333,0.115673828125,0.866943359375,
23,23,23,23,23,79,2018_10_31_10_50,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,3.594232070802366,5.548374098819535,2.5452139326000003,-0.091796875,-0.6571614583333333,0.4041015625,
24,24,24,24,24,80,2018_10_31_10_51,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,3.15480361108128,3.2583474659769456,6.198164050589689,0.0427734375,-0.4841796875,0.5016520182291667,
25,25,25,25,25,81,2018_10_31_10_52,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,0.1418531000423292,0.1153131186144465,10.397855481646197,-0.6013753255208333,-0.2018147786458333,0.5509033203125,
26,26,26,26,26,83,2018_10_31_10_53,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4686924636730153,0.0588040603675249,10.49824029059353,-0.960400390625,-0.2503662109375,0.0908121744791666,
27,27,27,27,27,84,2018_10_31_10_54,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4694860616349409,0.0586244282047029,10.4931167589586,-0.962744140625,-0.2298095703125,0.1585611979166666,
28,28,28,28,28,85,2018_10_31_10_55,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4692099109854443,0.0601687285502796,10.49344384098548,-0.964906852527358,-0.2241808884835852,0.1448834028139656,
29,29,29,29,29,86,2018_10_31_10_56,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,0.761471555884866,4.3062777742589775,4.846682750431599,-0.3507242838541666,-0.4578776041666667,0.2454182942708333,
30,30,30,30,30,87,2018_10_31_10_57,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,0.0440246835269028,2.560799250967491,8.019662080687526,-0.50146484375,-0.4301188151041666,0.2966634114583333,
31,31,31,31,31,88,2018_10_31_10_58,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-1.1532384292153428,3.559502288762596,9.71082188549833,-0.9051920572916666,-0.3717447916666667,-0.2080485026041666,
32,32,32,32,32,89,2018_10_31_10_59,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.3903299469764851,0.074499084774132,10.477732804087395,-0.3442057291666666,-0.2578938802083333,0.6994384765625,
33,33,33,33,33,90,2018_10_31_11_00,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.4357339895747073,0.0606977693678788,10.496494111919462,-0.6130940755208333,-0.5346598307291667,0.1737874348958333,
34,34,34,34,34,92,2018_10_31_11_01,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.3004843805631596,0.3787664630675211,10.350030534966436,-0.2892252604166667,-0.2248291015625,0.6561279296875,
35,35,35,35,35,93,2018_10_31_11_02,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2808052763493857,-0.151992933351063,10.498084795072824,-0.3597574869791666,-0.2538330078125,0.6340983072916667,
36,36,36,36,36,94,2018_10_31_11_03,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2874355791802914,-0.1515264258199324,10.50368022480407,-0.6210693359375,0.1998697916666666,0.408740234375,
37,37,37,37,37,95,2018_10_31_11_04,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2841217678443459,-0.1523253868670768,10.508962005039232,-0.1791097005208333,-0.2468587239583333,0.9042236328125,
38,38,38,38,38,96,2018_10_31_11_05,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2818911128219497,-0.1516095394507274,10.508881522956386,-0.1908854166666666,-0.2491048177083333,0.9230712890625,
39,39,39,39,39,97,2018_10_31_11_06,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2707565987774948,-0.153759762989025,10.508964640257602,-0.384257751433038,-0.277716258467952,0.750056995831162,
40,40,40,40,40,98,2018_10_31_11_07,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2665875234602496,-0.1526685648561023,10.506412238801838,-0.0465087890625,-0.265625,0.93759765625,
41,41,41,41,41,99,2018_10_31_11_08,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2673619136414598,-0.1545541038756295,10.507835047619109,-0.0470621744791666,-0.265625,0.9376302083333332,
42,42,42,42,42,101,2018_10_31_11_09,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,0.1041383902419912,1.292083360114222,9.022516657418814,-0.0870930989583333,-0.3426106770833333,0.7225748697916666,
43,43,43,43,43,102,2018_10_31_11_10,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,7.289258883692346,3.2877452240556795,0.8045258366953878,0.2826741536458333,-0.8291178385416667,0.0417317708333333,
44,44,44,44,44,103,2018_10_31_11_11,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2759042637626046,-0.1829111108029092,10.523673089753666,-0.0675537109375,-0.2731526692708333,0.9193522135416666,
45,45,45,45,45,104,2018_10_31_11_12,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2397687080123227,-0.183964773835385,10.511862941769346,-0.1450927734375,-0.2514078776041666,0.9205810546875,
46,46,46,46,46,106,2018_10_31_11_13,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2384844720492765,-0.1842007086170189,10.51036687486008,-0.0752034505208333,-0.2687581380208333,0.8808512369791667,
47,47,47,47,47,107,2018_10_31_11_14,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2372499613725541,-0.1828392143081212,10.504940529691911,-0.0896728515625,-0.2572184244791666,0.9110432942708332,
