,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,Class
0,0,0,0,2018_10_31_10_16,work,3.0,0.0,,4.0,4.0,,workplace,7.0,6.0,3.0,-0.190962385124299,-0.0468705871597983,9.788307804703257,-0.0990234375,-0.1079996744791666,0.9744059244791666,
1,1,1,4,2018_10_31_10_17,work,3.0,0.0,,4.0,4.0,,workplace,7.0,6.0,3.0,-0.1574676917100789,-0.0413207575797311,9.788956642945164,-0.3245279947916666,-0.5302490234375,0.4740559895833333,
2,2,2,8,2018_10_31_10_18,work,3.0,0.0,,4.0,4.0,,workplace,7.0,6.0,3.0,-0.6598157098051507,0.0732041239477043,9.445060242105304,-0.399658203125,-0.6749348958333333,0.3704020182291667,
3,3,3,12,2018_10_31_10_19,work,3.0,0.0,,4.0,4.0,,workplace,7.0,6.0,3.0,-0.1690713925249742,0.048865307883202,9.780473685610325,-0.2486002604166666,-0.8323323567708333,0.4132975260416666,
4,4,4,16,2018_10_31_10_20,work,3.0,0.0,,4.0,4.0,,workplace,7.0,6.0,3.0,-0.1065352734969768,-0.020579946480851,9.80388755179175,-0.3216437597707139,-0.805220818134445,0.3803657503908285,
5,5,5,20,2018_10_31_10_21,work,3.0,0.0,,4.0,4.0,,workplace,7.0,6.0,3.0,-0.1037389099660695,-0.0162821802419932,9.8091156307391,-0.2378987630208333,-0.787939453125,0.5086100260416667,
6,6,6,24,2018_10_31_10_22,work,3.0,0.0,,4.0,4.0,,workplace,7.0,6.0,3.0,-0.0924614706887518,-0.0319217959460549,9.806233046726383,-0.2491455078125,-0.8054036458333333,0.4748046875,
7,7,7,28,2018_10_31_10_23,work,3.0,0.0,,4.0,4.0,,workplace,4.0,4.0,3.0,-0.1021249015556551,-0.0206148004856662,9.81375120671892,-0.447998046875,-0.5638590494791667,0.5259358723958333,
8,8,8,32,2018_10_31_10_24,work,3.0,0.0,,4.0,4.0,,workplace,4.0,4.0,3.0,-0.1186671466282203,-0.0322667608184769,9.816534186394202,-0.4749104817708333,-0.0984456380208333,0.7450358072916666,
9,9,9,36,2018_10_31_10_25,work,3.0,0.0,,4.0,4.0,,workplace,4.0,4.0,3.0,-0.1185646245277316,-0.0335671101228011,9.806201738375371,-0.3420247395833333,-0.6306477864583333,0.338720703125,
10,10,10,40,2018_10_31_10_26,work,3.0,0.0,,4.0,4.0,,workplace,4.0,4.0,3.0,-0.1193427781786119,-0.0277866812856662,9.80030295800672,-0.4975748697916666,0.2931966145833333,0.6325276692708334,
11,11,11,44,2018_10_31_10_27,work,3.0,0.0,,4.0,4.0,,workplace,4.0,4.0,3.0,-0.1191711892273241,-0.0312828056210526,9.800375338185912,-0.2678385416666666,-0.192138671875,0.850341796875,
12,12,12,48,2018_10_31_10_28,work,3.0,0.0,,4.0,4.0,,workplace,4.0,4.0,3.0,-0.0995382324191383,-0.0215116409527699,9.797101056351444,-0.3265462239583333,-0.8328369140625,0.3498616536458333,
13,13,13,52,2018_10_31_10_29,work,3.0,0.0,,4.0,4.0,,workplace,4.0,4.0,3.0,-0.0883911935282594,0.0003938977553441,9.795241438724156,-0.430419921875,-0.7938883463541667,0.3796793619791667,
14,14,14,56,2018_10_31_10_30,work,3.0,0.0,,4.0,4.0,,workplace,4.0,4.0,3.0,-0.0891055920297872,0.0013861167914893,9.791908511758132,-0.6722819010416666,-0.1193359375,0.4784098307291666,
15,15,15,60,2018_10_31_10_31,work,3.0,0.0,,4.0,4.0,,workplace,4.0,4.0,3.0,-0.419226595380513,1.3633866083722423,9.382347103191476,-0.5465574517978113,-0.3003354611776967,0.4093277748827514,
