,E00,E01,E02,Month,Day,work,meal,travel,study,recreation_etc,household,hobby
0,1.3595779678064304,0.6502081937436941,0.5301136626863752,11,23,301.0,0.0,83.0,140.0,0.0,0.0,0.0
1,-3.231475484619949,-3.485689449842824,-3.441559506987048,11,24,0.0,0.0,126.0,0.0,55.0,0.0,0.0
2,2.663964508153441,2.8615362430892475,2.8004234811431985,11,28,164.0,0.0,146.0,0.0,0.0,0.0,0.0
3,2.720733400926832,3.1788166034272365,3.169376589673604,11,19,-366.0,185.0,166.0,0.0,0.0,0.0,0.0
4,0.8753028669102179,0.6714961589569128,0.6967415115857563,11,17,0.0,0.0,146.0,0.0,337.0,0.0,0.0
5,1.4505033428278296,1.1473129970715237,1.2696168261424532,11,22,114.0,0.0,251.0,0.0,0.0,0.0,0.0
6,0.3818042410164395,0.7147781140427867,0.7754721925232246,11,16,0.0,0.0,125.0,175.0,-308.0,0.0,0.0
7,-0.0296852452835025,0.1341376772245155,0.0762468922024623,11,25,301.0,30.0,0.0,0.0,288.0,0.0,0.0
8,4.304961758482335,3.951056405137251,4.082704203260633,11,20,291.0,0.0,10.0,-423.0,121.0,0.0,0.0
9,4.7786372455354496,4.563680477747028,4.59289406544714,11,21,70.0,0.0,0.0,-691.0,0.0,570.0,0.0
