,E00,E01,E02,Month,Day,work,recreation_etc,travel,meal,study,recreation_media
0,1.977389715780476,2.0506087064564014,2.005280303325847,11,10,0.0,221.0,0.0,68.0,0.0,0.0
1,4.395499133694457,4.069334291882996,4.146023942866705,11,3,413.0,68.0,45.0,102.0,0.0,0.0
2,-1.4067107612907392,-0.9515595215413128,-0.9787386941321046,11,12,313.0,86.0,44.0,13.0,0.0,0.0
3,4.746167513120554,5.03509023670037,4.970087600985707,11,1,145.0,64.0,56.0,11.0,64.0,0.0
4,-0.1254682204479564,0.3333256026091362,0.3203322254282028,11,7,372.0,122.0,72.0,28.0,0.0,0.0
5,-1.055724276544808,-0.6622412709296128,-0.622580363739047,11,13,231.0,93.0,74.0,41.0,70.0,0.0
6,-0.3940894506510375,-0.6556403860675033,-0.608540063973777,11,2,270.0,45.0,-378.0,38.0,0.0,24.0
7,-0.2914896381522567,0.3999133795009726,0.0640672500019263,11,4,0.0,212.0,0.0,82.0,0.0,0.0
8,-3.269917544930749,-3.58895706134939,-3.515919147255218,11,5,-269.0,35.0,233.0,0.0,0.0,0.0
9,3.4565928005264084,3.765631076459414,3.700935502027989,11,11,303.0,111.0,32.0,23.0,0.0,0.0
