,E00,E01,E02,Month,Day,work,travel,recreation_etc,meal,recreation_media,socialising,hobby,outdoor_act,personal_care,household
0,-2.701077963998344,-2.77723839270611,-2.7906541781488983,10,31,-167.0,101.0,0.0,48.0,16.0,1.0,0.0,0.0,0.0,0.0
1,2.5920008615426724,2.2079252430006875,2.335747670466404,10,31,-167.0,101.0,0.0,48.0,16.0,1.0,0.0,0.0,0.0,0.0
2,3.323089908954273,3.674513774708872,3.729607266491058,11,7,390.0,163.0,50.0,-659.0,88.0,8.0,0.0,0.0,0.0,0.0
3,-2.0124639490493337,-1.9284943692347696,-1.8248139352540989,11,10,40.0,-649.0,180.0,133.0,154.0,0.0,0.0,0.0,26.0,183.0
4,1.050412583317879,0.7817052697280502,0.8317654147031988,11,10,40.0,-649.0,180.0,133.0,154.0,0.0,0.0,0.0,26.0,183.0
5,2.3387705019850387,2.072310222125324,2.184586046862336,11,12,492.0,220.0,4.0,-578.0,0.0,0.0,0.0,0.0,0.0,6.0
6,-1.7025975040879755,-1.987280275595112,-1.9303699940692385,11,8,488.0,82.0,0.0,-664.0,86.0,7.0,0.0,0.0,0.0,0.0
7,-4.140277264093726,-3.5788464667020605,-3.854503847755169,11,3,296.0,137.0,69.0,69.0,88.0,1.0,0.0,-645.0,42.0,0.0
8,4.743233890144069,4.611498479321014,4.676377984426722,11,4,-71.0,80.0,24.0,16.0,0.0,22.0,0.0,0.0,0.0,9.0
9,-2.543526885373112,-2.633020900304203,-2.6429206889184087,11,4,-71.0,80.0,24.0,16.0,0.0,22.0,0.0,0.0,0.0,9.0
10,3.847847163449444,3.467562088586021,3.597733743056054,11,1,395.0,206.0,114.0,-660.0,53.0,0.0,0.0,0.0,0.0,0.0
11,-5.054600702581638,-5.433152272101864,-5.302390071300749,11,6,-118.0,84.0,16.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0
12,2.148847142475105,1.8431693952046688,1.909673225613304,11,5,-188.0,82.0,39.0,89.0,0.0,8.0,0.0,0.0,0.0,0.0
