,E00,E01,E02,Month,Day,household,meal,travel,work,personal_care,communitiy_interaction,recreation_etc,socialising,outdoor_act,study
0,-1.6538733750384722,-1.246389345099672,-1.2992087659795857,11,1,22.0,177.0,91.0,-332.0,41.0,0.0,0.0,0.0,0.0,0.0
1,6.334373810412927,6.017174081727333,6.089289258970624,11,1,22.0,177.0,91.0,-332.0,41.0,0.0,0.0,0.0,0.0,0.0
2,-3.847262547590688,-4.003907865410568,-3.994312705370504,11,3,92.0,-600.0,179.0,0.0,14.0,0.0,314.0,0.0,0.0,0.0
3,0.8770870543160783,0.6934292405947673,0.7117725809916209,11,5,12.0,56.0,183.0,-291.0,39.0,0.0,0.0,0.0,0.0,0.0
4,0.5025594459358729,0.6284096678488567,0.5751209564527358,11,11,123.0,51.0,-657.0,0.0,84.0,54.0,115.0,53.0,243.0,40.0
5,-0.0048207559708828,0.152155179631265,0.095020078493718,11,6,5.0,144.0,127.0,471.0,-663.0,0.0,0.0,0.0,0.0,0.0
6,-2.4012539975668545,-2.1182367925527643,-2.183237579876078,11,8,148.0,159.0,-509.0,45.0,0.0,0.0,88.0,68.0,0.0,0.0
7,-1.3494297506510406,-1.6109806860675064,-1.5638803639737802,11,13,91.0,78.0,-505.0,265.0,67.0,0.0,0.0,0.0,0.0,0.0
8,1.3682101940529492,1.8238673144002744,1.797476769186744,11,4,63.0,46.0,-559.0,0.0,321.0,0.0,0.0,128.0,0.0,0.0
9,-1.5562322296290034,-1.2913240293645742,-1.3560806438189132,11,10,-365.0,99.0,12.0,0.0,75.0,0.0,178.0,0.0,0.0,0.0
10,-1.6992087768975497,-2.105474160160284,-2.001360795012914,11,10,-365.0,99.0,12.0,0.0,75.0,0.0,178.0,0.0,0.0,0.0
11,-3.248178490292545,-2.795231101653286,-2.7945596609995818,11,7,61.0,109.0,251.0,-390.0,46.0,0.0,24.0,0.0,0.0,0.0
