,E00,E01,E02,Month,Day,work,household,study,recreation_media,outdoor_act,travel,meal,recreation_etc,communitiy_interaction,personal_care,entertainment,socialising,hobby
0,-3.451320357076796,-3.091216549262782,-3.0389686240871328,11,20,0.0,-524.0,0.0,103.0,53.0,0.0,43.0,121.0,185.0,0.0,0.0,18.0,0.0
1,0.9073203021280988,-0.0924563860321399,-0.1018989104888419,11,23,0.0,131.0,0.0,101.0,0.0,0.0,0.0,0.0,-241.0,8.0,0.0,0.0,0.0
2,-6.4778172838667984,-6.836255712336524,-6.740845318120364,11,18,37.0,135.0,0.0,93.0,0.0,-458.0,81.0,0.0,0.0,9.0,102.0,0.0,0.0
3,-2.8596770036398595,-2.529918718070334,-2.4683043628922974,11,24,0.0,-583.0,163.0,196.0,0.0,0.0,55.0,13.0,109.0,24.0,0.0,22.0,0.0
4,0.0518664677110791,0.4729164864685629,0.4242089311403418,11,16,0.0,378.0,0.0,0.0,0.0,21.0,33.0,17.0,-450.0,0.0,0.0,0.0,0.0
5,-3.3213663956600925,-3.0657212126190103,-3.1302218330825013,11,16,0.0,378.0,0.0,0.0,0.0,21.0,33.0,17.0,-450.0,0.0,0.0,0.0,0.0
6,-3.6180802868794473,-3.329157563299632,-3.394160199014294,11,21,0.0,149.0,63.0,-623.0,0.0,0.0,29.0,28.0,122.0,0.0,0.0,270.0,0.0
7,-3.868502690788347,-3.691214544036271,-3.766278338602192,11,21,0.0,149.0,63.0,-623.0,0.0,0.0,29.0,28.0,122.0,0.0,0.0,270.0,0.0
8,-1.7542393246618957,-1.4078270765409968,-1.4704510150443897,11,17,0.0,-136.0,13.0,0.0,0.0,0.0,67.0,27.0,95.0,0.0,0.0,0.0,0.0
9,-1.1357550010276327,-1.3223391070585393,-1.3030140433286022,11,25,0.0,16.0,0.0,39.0,0.0,153.0,68.0,176.0,-508.0,32.0,0.0,23.0,0.0
10,-1.3421730136217604,-1.5079538852280052,-1.4954621416505915,11,15,26.0,94.0,95.0,106.0,53.0,-697.0,58.0,104.0,181.0,0.0,0.0,0.0,0.0
11,-6.672213580358317,-6.326778603514057,-6.269804025340392,11,26,0.0,121.0,0.0,0.0,28.0,90.0,33.0,-489.0,189.0,25.0,0.0,2.0,0.0
