,E00,E01,E02,Month,Day,travel,study,meal,work,recreation_etc,recreation_media,hobby,household,personal_care,socialising,communitiy_interaction
0,-0.2235291170348574,0.019564207755252,-0.0444568321630356,11,21,162.0,94.0,19.0,98.0,2.0,-527.0,0.0,117.0,34.0,0.0,0.0
1,6.59307639400528,6.329119749414417,6.377207984598741,11,22,141.0,-476.0,130.0,187.0,61.0,0.0,32.0,0.0,3.0,0.0,12.0
2,3.5959160286796674,3.727081588170364,3.6747359767819177,11,26,307.0,157.0,0.0,-553.0,36.0,59.0,19.0,9.0,0.0,0.0,48.0
3,-1.0499930579253345,-1.4279148977782938,-1.2969776475352006,11,16,-543.0,0.0,21.0,81.0,64.0,156.0,242.0,0.0,0.0,0.0,0.0
4,2.889398395254233,1.986384787558919,2.007504407050135,11,27,131.0,-307.0,173.0,89.0,61.0,0.0,0.0,0.0,20.0,0.0,0.0
5,1.551074788685412,1.7046167075787082,1.6478731220323084,11,23,175.0,168.0,89.0,52.0,-624.0,0.0,33.0,0.0,23.0,0.0,49.0
6,1.673154173831776,2.1150608518909024,2.127204325631425,11,18,38.0,0.0,138.0,362.0,-490.0,31.0,0.0,0.0,13.0,0.0,0.0
7,2.277083573784097,2.132812195209098,2.1385812952155305,11,18,38.0,0.0,138.0,362.0,-490.0,31.0,0.0,0.0,13.0,0.0,0.0
8,-1.3212845338429418,-1.3462940953166935,-1.372168421812077,11,28,248.0,0.0,29.0,61.0,153.0,0.0,0.0,27.0,-646.0,0.0,92.0
9,1.6690578241606602,1.4432286946537405,1.4764202965099429,11,24,397.0,103.0,44.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-1.6781316670586932,-1.8733999266296733,-1.851120553177268,11,20,84.0,400.0,-624.0,55.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.245688157424098,1.6458926454651674,1.6826080944291275,11,25,369.0,-537.0,60.0,179.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0
12,-2.7988045861262947,-2.6939269977424374,-2.7442573804025727,11,17,427.0,-588.0,126.0,40.0,9.0,42.0,0.0,13.0,0.0,0.0,0.0
