,E00,E01,E02,Month,Day,recreation_etc,travel,meal,work,study,socialising,personal_care,entertainment,recreation_media
0,1.348796598924693,1.183631871175706,1.2613980053497895,11,23,64.0,251.0,111.0,39.0,-558.0,0.0,0.0,92.0,0.0
1,0.0934411020804191,0.4958041278266307,0.5315357222355743,11,23,64.0,251.0,111.0,39.0,-558.0,0.0,0.0,92.0,0.0
2,-4.075294649144709,-4.458711487567399,-4.330293283879072,11,16,5.0,79.0,400.0,-485.0,0.0,0.0,0.0,0.0,0.0
3,1.4313025795043617,1.2081649414039362,1.2403614676931198,11,20,140.0,153.0,96.0,132.0,-450.0,16.0,0.0,0.0,0.0
4,2.7627146791039365,2.3783742368316183,2.497014198811428,11,28,-432.0,248.0,21.0,0.0,107.0,0.0,0.0,0.0,19.0
5,-2.18801176439878,-2.528815162025353,-2.444164450166909,11,21,111.0,262.0,86.0,0.0,-465.0,0.0,5.0,0.0,0.0
6,3.098127625266571,2.8435615433820374,2.952234669078848,11,22,23.0,-265.0,39.0,110.0,92.0,0.0,0.0,0.0,0.0
7,3.26570691768724,3.3071860830404063,3.267500918527972,11,18,68.0,116.0,20.0,-205.0,0.0,0.0,0.0,0.0,0.0
8,3.434045310060199,3.601280701812172,3.543025825466856,11,27,41.0,99.0,131.0,0.0,-413.0,0.0,0.0,0.0,2.0
9,-5.385446996460942,-5.734913033790775,-5.645178076778478,11,17,0.0,90.0,213.0,-304.0,0.0,0.0,0.0,0.0,0.0
