,E00,E01,E02,Month,Day,work,travel,meal,recreation_etc,outdoor_act,household,personal_care,study,hobby
0,0.8218611211956954,0.354989350402235,0.453686310741503,11,4,198.0,41.0,0.0,-497.0,0.0,29.0,58.0,0.0,0.0
1,2.1802731653561978,1.80588720349553,1.937534253617386,11,2,-219.0,204.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
2,0.2080601290324182,0.8132079657569165,0.515567433906611,11,3,0.0,33.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
3,2.166807564250292,2.173138109771457,2.140420318190607,11,8,-513.0,232.0,48.0,185.0,0.0,0.0,0.0,0.0,0.0
4,0.7849319062466691,1.012034558935781,0.9488338963695782,11,7,156.0,76.0,-629.0,285.0,0.0,0.0,0.0,75.0,0.0
5,0.4006548219011705,0.7207777342127741,0.6564763554143838,10,31,478.0,-561.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0229451482907308,0.710471932731366,0.820708330372085,11,9,-374.0,63.0,38.0,89.0,0.0,0.0,0.0,0.0,183.0
7,1.378868114274141,1.7826725394196927,1.728912578777695,11,10,411.0,27.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-6.486730759527035,-5.789723962797197,-6.127623514058627,11,12,329.0,-549.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0
9,-2.963989977746081,-3.164967009926088,-3.140711451251903,11,13,267.0,0.0,-602.0,0.0,0.0,0.0,0.0,0.0,0.0
