,E00,E01,E02,Month,Day,study,recreation_etc,travel,meal,household,personal_care,hobby
0,-3.043196846437084,-3.0438612984070943,-3.0751032077382945,11,17,205.0,139.0,40.0,127.0,0.0,26.0,-538.0
1,2.2346915074002567,2.595826469271572,2.53467872071154,11,28,201.0,145.0,93.0,0.0,0.0,0.0,0.0
2,2.543722989085836,2.970841957057303,2.924394450937214,11,22,-201.0,26.0,53.0,75.0,0.0,0.0,96.0
3,4.756285661990788,5.208376479630246,5.177349418413513,11,27,-338.0,0.0,53.0,284.0,0.0,0.0,0.0
4,4.32223725285742,4.45264838315758,4.551446410149623,11,20,153.0,199.0,113.0,0.0,0.0,0.0,0.0
5,3.8164979681115057,4.212262440198316,4.250942665080132,11,15,359.0,-704.0,8.0,113.0,88.0,0.0,0.0
6,1.849391761189949,1.7272719440981348,1.726461364273746,11,24,0.0,-530.0,9.0,45.0,0.0,44.0,441.0
7,3.2284764863782414,3.0626956147719966,3.0751873583494103,11,23,-265.0,92.0,130.0,38.0,0.0,0.0,0.0
8,3.5139616695701363,3.1687158715790105,3.2559326837139224,11,16,-263.0,14.0,171.0,37.0,0.0,40.0,0.0
9,0.9174929093547064,0.7738847272331384,0.8881233280204839,11,18,0.0,-443.0,10.0,113.0,0.0,36.0,231.0
10,3.233967959283192,3.1411642864345737,3.13215483927722,11,19,376.0,-672.0,175.0,120.0,0.0,0.0,0.0
