,E00,E01,E02,Month,Day,hobby,work,travel,recreation_etc,communitiy_interaction,personal_care,meal,household,recreation_media
0,1.7705985642502924,1.7769291097714586,1.744211318190608,11,1,0.0,500.0,0.0,-617.0,67.0,6.0,28.0,0.0,0.0
1,-0.4446770727789868,-0.557123288226407,-0.5607021218275889,11,5,0.0,-282.0,33.0,215.0,0.0,0.0,29.0,0.0,0.0
2,0.380396562743968,0.7439040679244897,0.6830362041272622,11,2,0.0,479.0,0.0,171.0,-663.0,0.0,5.0,0.0,0.0
3,0.0183557760912691,0.1957814702439435,0.1364897660327386,11,3,0.0,158.0,102.0,-565.0,0.0,25.0,152.0,19.0,94.0
4,-2.289726363245194,-2.5338833490822026,-2.493725693517433,11,3,0.0,158.0,102.0,-565.0,0.0,25.0,152.0,19.0,94.0
5,5.334040532540882,4.953822867454193,5.066809703491174,10,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.865135022606651,3.49773676814128,3.629936264511912,11,6,0.0,-172.0,36.0,24.0,0.0,40.0,10.0,0.0,0.0
7,-1.938003807901481,-2.17959852077675,-2.140435378270425,11,11,0.0,-550.0,26.0,385.0,12.0,0.0,0.0,0.0,0.0
8,-6.110010941965783,-5.44606859768578,-5.770893210823601,11,13,0.0,413.0,92.0,118.0,0.0,0.0,-671.0,0.0,0.0
9,1.1747385272687154,1.6030216153045558,1.6249470480741337,11,9,0.0,-484.0,84.0,130.0,297.0,0.0,0.0,0.0,0.0
