ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_x_std,macc_y_mean,macc_y_std,macc_z_mean,macc_z_std,mgps_lat_mean,mgps_lat_std,mgps_lon_mean,mgps_lon_std,e4acc_x_mean,e4acc_x_std,e4acc_y_mean,e4acc_y_std,e4acc_z_mean,e4acc_z_std,bvp_mean,bvp_std,hr_mean,hr_std,temp_mean,temp_std
2020_01_22_08_57_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,0.5141390125221772,0.7900475128626889,2.294913739046694,2.8603162589629996,8.941983626175825,1.2550780941956319,37.6332101,,127.0443563,,-0.4623908936946326,0.3357964498909739,-0.012416948931735278,0.43979986820549716,0.5372508467952058,0.4335626420069602,0.03961323472786462,97.62857483709946,88.12384057142857,7.139962065185379,31.558833333333368,0.04397000372226558
2020_01_22_08_58_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,-0.415247908576272,1.1259797038058421,5.105909603720987,2.843851585415246,7.615545035366547,1.6707646057391308,37.6332101,,127.0443563,,-0.5772786458333333,0.1594666166839419,0.58046875,0.30195090364488175,-0.08765462239583334,0.47043443173593485,0.07049496600500445,78.49753839346286,82.28617725,6.295240622346856,31.492666666666683,0.031997210478137035
2020_01_22_08_59_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,-0.18319419730739084,0.5178174216369282,6.348813787961914,0.8666468906255599,7.316894426819704,0.7722821010303402,37.6332101,,127.0443563,,-0.6391845703125,0.04588154244592867,0.6706298828125,0.061155092190749445,-0.3899739583333333,0.06704567179753643,0.017779915095312175,104.57985388678304,76.24280099999999,8.707996938505818,31.482833333333264,0.015041551004628336
2020_01_22_09_00_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,-0.10659080883807394,0.4376492998515918,6.146406403247487,0.5407057977320917,7.5480545560470444,0.5034908248486097,37.6332101,,127.0443563,,-0.625,0.06668734141266949,0.65263671875,0.07142691614940334,-0.4387288411458333,0.05342289535705368,0.07502862172533588,79.05971826250287,82.13573650000001,12.226816685644541,31.460666666666643,0.024536995663821757
2020_01_22_09_01_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,0.059346395001455055,0.44534494538398184,7.686470262059292,1.32235745645529,5.700831295355357,1.5303707486658666,37.6332101,,127.0443563,,-0.7107259114583333,0.11298786682753757,0.6466634114583333,0.051999024070164976,-0.19103190104166667,0.20092307815585575,-0.12727660911133043,51.5391533720114,76.25853651851854,4.554682283601504,31.430833333333325,0.01854919201494331
2020_01_22_09_02_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,0.12527044203986537,0.43202090005559207,8.189005684266514,0.6309548755163861,5.246999620436731,0.8376906977775562,37.6332101,,127.0443563,,-0.7479248046875,0.09207754343474561,0.6525960286458333,0.08115461651104273,-0.09556477864583333,0.08613368922724858,-0.21293644440403578,30.88417522341456,75.00374214285713,7.047897464623722,31.317166666666683,0.042812881441154256
2020_01_22_09_03_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,-0.6081109468801792,0.7010564484247046,8.159098674748034,0.37881681764269115,5.266946105263152,0.6704297910566062,37.6332101,,127.0443563,,-0.8162353515625,0.06002381129758259,0.5785725911458334,0.05326584741316912,-0.08282877604166666,0.07686003491734426,0.19654737857507895,40.50981236935937,77.66410690625001,9.175756772292589,31.254166666666645,0.022090848304230828
2020_01_22_09_04_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,-0.6112264527965275,0.7171776751047315,8.252618854983197,0.5289842231313916,5.066928980279951,0.9293344311564437,37.6332101,,127.0443563,,-0.7972086588541667,0.0871666113412156,0.600048828125,0.08771212595046932,0.0070231119791666664,0.07933060414774051,0.25319486475754965,117.43547581897425,79.49417147368419,4.806929539153327,31.172499999999978,0.02620326084023005
2020_01_22_09_05_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,-0.3553661466068316,1.969295601632953,2.998369381220033,3.461583887125405,8.194925646918259,1.9728323097746217,37.6332101,,127.0443563,,-0.7388427734375,0.191713774732414,0.36300455729166664,0.3077644874800262,-0.2943033854166667,0.3633751897764542,-0.3371890082967194,82.502024439148,85.7077195625,14.916590637470813,31.11783333333336,0.02318502378162509
2020_01_22_09_06_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,0.049793140820156734,1.7083814405880182,6.44067296909295,1.2220110611403374,6.9954020354423285,1.0784317875822143,37.6332101,,127.0443563,,-0.7783121744791667,0.1081397791239265,0.487646484375,0.15331061051979267,-0.337109375,0.17860644267942222,0.11898390620703281,104.60083722115367,74.05180351724141,3.4582316432562816,31.102333333333306,0.019904934454065007
2020_01_22_09_07_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,-0.2595160635590154,1.231794593109426,5.959504169428888,0.6372146536137409,7.588934184938411,0.7126933414373957,37.6332101,,127.0443563,,-0.8845052083333333,0.056787116766248515,0.35989583333333336,0.07909834217836505,-0.3099772135416667,0.086950202472757,0.08124575478770472,30.633623091770737,76.7016333448276,6.095388400916152,31.03416666666669,0.03038341689664316
2020_01_22_09_08_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,0.30342271788768227,0.9127181059052608,2.7861677201411035,3.6514965189461974,8.367452857245235,2.0559241213716732,37.6332101,,127.0443563,,-0.38926595052083335,0.31813383240744103,0.0194580078125,0.7188593332136797,0.13524576822916667,0.4637208827341754,-0.08595587586223956,69.81370182224924,81.63307977777778,7.312165551044871,30.931333333333328,0.06554481469660468
2020_01_22_09_09_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,0.4695634059298979,0.7656922397622364,3.692463747208186,3.5399272667801864,8.118863863773802,1.842554517086828,37.6332101,,127.0443563,,-0.5032487623762376,0.38568831118382285,-0.13761236321000522,0.46850916279507554,0.3918137701928088,0.4697364398162997,-0.11729258529296716,81.61876566680091,81.51592789473683,3.905047133100926,30.783333333333385,0.030099787550740276
2020_01_22_09_10_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,0.14270199697760463,0.030921701632790344,-0.1043010993739095,0.049320462203123035,9.767466809070584,0.03993825567180065,37.6332101,,127.0443563,,-0.6865315755208333,0.381060041846229,-0.10791015625,0.35659947533251835,0.28362630208333334,0.45505070708836715,0.0532923581710946,84.89405546572208,,,30.72816666666658,0.0354760413780194
2020_01_22_09_11_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,0.14608696022004647,0.022767931706431453,-0.07873222843527529,0.017080762126871193,9.769299390817489,0.02811424533638226,37.6332101,,127.0443563,,-0.6399576822916667,0.33500016320913784,-0.3669921875,0.4386392620542629,0.2526123046875,0.39221120312852276,0.11126522329374619,87.26103585597428,,,30.66399999999998,0.02841415169834297
2020_01_22_09_12_00_AM,meal,3.0,0.0,,0.0,,,home,7.0,3.0,3.0,0.14529467789809777,0.01940918890499028,-0.07291143288689904,0.00987923839651872,9.767895824468102,0.021149209762772805,37.6332101,,127.0443563,,-0.6316975911458333,0.365260257784605,-0.17957356770833333,0.5314321995054628,-0.07381184895833333,0.4348509353206978,-0.3506346303688454,56.89370559068338,90.87939125000001,9.913805812525032,30.580166666666692,0.04621187033169742
2020_01_22_09_50_00_AM,outdoor_act,2.0,1.0,1.0,0.0,,,other_indoor,7.0,2.0,2.0,1.8880766135914961,2.8667555641521507,1.0842152520481245,7.42315511433304,4.70718178779071,3.6580409803511045,37.6325904,,127.0440581,,-0.68310546875,0.2427773255543517,0.08988444010416667,0.6465447260308881,-0.007560221354166666,0.32615183859065777,-0.325760962523698,65.30551478012998,109.22577000000001,15.229298157669644,,
